nu_ano;co_ies;cd_catad;cd_orgac;co_grupo;co_subarea;co_regiao_habil;co_uf_habil;co_munic_habil;co_curso;nu_idade;tp_sexo;sg_uf;ano_fim_2g;ano_in_gra;tp_semest;in_matut;in_vesper;in_noturno;amostra;peso_amost;in_grad;in_inscr;tp_def_fis;tp_def_vis;tp_def_aud;tp_pres;tp_pr_ger;tp_pr_ob_fg;tp_pr_di_fg;tp_pr_ob_ce;tp_pr_di_ce;tp_sfg_d1;tp_sfg_d2;tp_sce_d1;tp_sce_d2;tp_sce_d3;nu_que_ofg;nu_que_dfg;nu_que_oce;nu_que_dce;vt_gab_ofg;vt_gab_oce;vt_esc_ofg;vt_ace_ofg;vt_esc_oce;vt_ace_oce;nt_obj_fg;nt_fg_d1;nt_fg_d2;nt_dis_fg;nt_fg;nt_obj_ce;nt_ce_d1;nt_ce_d2;nt_ce_d3;nt_ce_d4;nt_ce_d5;nt_ce_d6;nt_ce_d7;nt_ce_d8;nt_ce_d9;nt_ce_d10;nt_ce_d11;nt_ce_d12;nt_ce_d13;nt_ce_d14;nt_ce_d15;nt_dis_ce;nt_ce;nt_ger;nu_que_qip;qp_i1;qp_i2;qp_i3;qp_i4;qp_i5;qp_i6;qp_i7;qp_i8;qp_i9;nu_que_soc;tp_sit_soc;QE_I1;QE_I2;QE_I3;QE_I4;QE_I5;QE_I6;QE_I7;QE_I8;QE_I9;QE_I10;QE_I11;QE_I12;QE_I13;QE_I14;QE_I15;QE_I16;QE_I17;QE_I18;QE_I19;QE_I20;QE_I21;QE_I22;QE_I23;QE_I24;QE_I25;QE_I26;QE_I27;QE_I28;QE_I29;QE_I30;QE_I31;QE_I32;QE_I33;QE_I34;QE_I35;QE_I36;QE_I37;QE_I38;QE_I39;QE_I40;QE_I41;QE_I42;QE_I43;QE_I44;QE_I45;QE_I46;QE_I47;QE_I48;QE_I49;QE_I50;QE_I51;QE_I52;QE_I53;QE_I54;QE_I55;QE_I56;QE_I57;QE_I58;QE_I59;QE_I60;QE_I61;QE_I62;QE_I63;QE_I64;QE_I65;QE_I66;QE_I67;QE_I68;QE_I69;QE_I70;QE_I71;QE_I72;QE_I73;QE_I74;QE_I75;QE_I76;QE_I77;QE_I78;QE_I79;QE_I80;QE_I81;QE_I82;QE_I83;QE_I84;QE_I85;QE_I86;QE_I87;QE_I88;QE_I89;QE_I90;QE_I91;QE_I92;QE_I93;QE_I94;QE_I95;QE_I96;QE_I97;QE_I98;QE_I99;QE_I100;QE_I101;QE_I102;QE_I103;QE_I104;QE_I105;QE_I106;QE_I107;QE_I108;QE_I109;QE_I110;QE_I111;QE_I112;QE_I113;QE_I114;QE_I115
2010;1;1;1;7;;3;51;3304557;26;21;2;RJ;2005;0;0;0;1;0;1;1.461.538.434;1;0;0;0;0;555;555;555;333;555;333;333;333;333;333;333;8;2;36;4;CEDADBDC;EAAECDCECDACBBBBD  ADECCEADACB ADBCCBADEC;AAAAAAAA;10000;AAAAAAAAAAAAAAAAAAAAAAAAAAA;1,1E+25;12.5;0;0;0;7.5;22.200.000.763;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18.899.999.619;16.100.000.381;9;E;D;B;.;D;D;D;A;A;115;0;..;.;.;.;.;.;.;.;.;.;.;.;.;.;..;..;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
2010;1;1;1;7;;3;51;3550308;26;23;1;SP;2000;2003;2;0;1;0;1;16.170.213.223;0;0;0;0;0;555;555;555;333;555;333;333;333;333;333;333;8;2;36;4;CEDADBDC;EAAECDCECDACBBBBD  ADECCEADACB ADBCCBADEC;ABCDEABC;1;DEABCDEABCDEABCDEABCDEABCDE;1,011E+24;12.5;0;0;0;7.5;25.899.999.619;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22;18.399.999.619;9;.;.;.;.;.;.;.;.;.;115;0;..;.;.;.;.;.;.;.;.;.;.;.;.;.;..;..;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
2010;1;1;1;7;;5;51;5103403;26;33;1;MT;2000;2002;2;0;1;0;1;16.170.213.223;0;0;0;0;0;555;555;555;333;555;333;333;333;333;333;333;8;2;36;4;CEDADBDC;EAAECDCECDACBBBBD  ADECCEADACB ADBCCBADEC;BEECDCDB;1001010;DCECDCDBDCCCCCCDCCCBCCCBCEB;1E+15;37.5;0;0;0;22.5;11.100.000.381;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;93.999.996.185;12.699.999.809;9;C;C;C;B;B;C;B;B;B;115;1;MS;B;C;B;A;B;B;B;C;D;G;D;C;D;MT;MT;A;D;E;E;B;C;B;A;E;D;D;D;E;E;B;E;A;D;A;A;A;B;B;B;A;A;A;A;B;B;A;D;E;E;E;E;B;B;D;B;A;B;A;B;D;D;D;D;C;D;C;D;D;C;E;E;D;E;#;#;E;D;E;E;E;D;B;D;D;E;E;D;E;E;E;E;E;E;E;A;A;C;E;C;C;C;C;C;C;C;C;C;C;C;A;A;E;A;B
2010;1;1;1;7;;5;51;5103403;26;36;1;MT;1995;1996;2;1;1;1;1;16.170.213.223;0;0;0;0;0;555;555;555;555;555;333;555;555;333;333;333;8;2;36;4;CEDADBDC;EAAECDCECDACBBBBD  ADECCEADACB ADBCCBADEC;BEBCCEDC;1000011;CBDEECEBDCAADDAABDADEDEDADE;1E+23;37.5;3;1.5;22.5;31.5;14.800.000.191;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12.600.000.381;17.299.999.237;9;C;C;D;D;D;D;D;D;B;115;0;..;.;.;.;.;.;.;.;.;.;.;.;.;.;..;..;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
2010;1;1;1;7;;5;51;5103403;26;27;1;MT;1996;2000;2;1;1;1;1;0;0;0;0;0;0;222;222;222;222;222;222;222;222;222;222;222;8;2;36;4;CEDADBDC;EAAECDCECDACBBBBD  ADECCEADACB ADBCCBADEC;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;;;;;;;;;;115;0;..;.;.;.;.;.;.;.;.;.;.;.;.;.;..;..;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
2010;1;1;1;7;;5;51;5103403;26;28;1;MT;1999;2000;2;0;1;0;1;0;0;0;0;0;0;222;222;222;222;222;222;222;222;222;222;222;8;2;36;4;CEDADBDC;EAAECDCECDACBBBBD  ADECCEADACB ADBCCBADEC;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;;;;;;;;;;115;0;..;.;.;.;.;.;.;.;.;.;.;.;.;.;..;..;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
2010;1;1;1;7;;5;51;5103403;26;45;1;MT;1995;2001;2;1;1;1;1;16.170.213.223;0;0;0;0;0;555;555;555;555;555;333;555;555;333;333;333;8;2;36;4;CEDADBDC;EAAECDCECDACBBBBD  ADECCEADACB ADBCCBADEC;CDDECBBC;10100101;CDCDBBCDCDEBADCCDCDDCEADACD;1,011E+20;50;6;6;60;54;40.700.000.763;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;34.599.998.474;39.5;9;D;D;B;B;B;C;B;C;B;115;0;..;.;.;.;.;.;.;.;.;.;.;.;.;.;..;..;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
2010;1;1;1;7;;5;51;5103403;26;30;2;MT;1994;1995;2;1;1;1;1;16.170.213.223;0;0;0;0;0;555;555;555;555;555;555;555;555;555;333;333;8;2;36;4;CEDADBDC;EAAECDCECDACBBBBD  ADECCEADACB ADBCCBADEC;CEBABABD;11010000;DECCEEDCEEEEDBEACEDEEEADAAE;1,00001E+13;37.5;3;3;30;34.5;25.899.999.619;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;23.5;26.299.999.237;9;E;D;A;A;A;A;B;D;B;115;1;MT;B;B;B;B;B;A;B;E;E;G;D;A;A;MT;MT;B;B;E;E;B;C;D;A;A;D;A;B;E;E;E;E;A;B;A;B;B;A;B;B;A;A;A;B;B;B;B;E;E;E;E;A;A;C;D;D;A;A;A;A;D;C;A;A;D;A;D;A;A;D;B;D;A;A;A;A;B;A;B;B;A;A;A;A;A;C;B;B;A;A;A;C;C;C;B;C;C;B;B;A;A;A;A;A;A;A;A;B;C;B;A;A;A;A;A
2010;1;1;1;7;;5;51;5103403;26;24;2;MT;2002;2004;2;0;1;0;1;0;0;0;0;0;0;222;222;222;222;222;222;222;222;222;222;222;8;2;36;4;CEDADBDC;EAAECDCECDACBBBBD  ADECCEADACB ADBCCBADEC;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;;;;;;;;;;115;0;..;.;.;.;.;.;.;.;.;.;.;.;.;.;..;..;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
2010;1;1;1;7;;5;51;5103403;26;25;1;MT;2000;2002;2;0;1;0;1;16.170.213.223;0;0;0;0;0;555;555;555;555;555;333;555;555;333;333;333;8;2;36;4;CEDADBDC;EAAECDCECDACBBBBD  ADECCEADACB ADBCCBADEC;EDADDBCC;1101;DEACDABBDDBDBABEDAECDCEABDD;1E+24;37.5;1;2;15;28.5;22.200.000.763;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18.899.999.619;21.299.999.237;9;D;D;A;B;B;C;D;B;.;115;1;MT;B;C;B;A;B;A;B;D;D;G;D;D;D;MT;MT;A;A;D;D;C;E;D;A;C;D;D;C;E;E;A;A;A;D;A;A;B;A;B;A;A;B;A;B;B;B;A;E;D;D;D;B;B;B;B;B;B;B;B;B;C;C;C;C;C;D;D;C;D;D;C;E;C;D;D;D;A;D;E;C;C;C;A;D;D;E;E;C;E;E;D;E;E;E;A;B;C;D;C;C;C;C;C;D;C;C;C;C;E;C;A;B;#;A;A
